codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
gzip,209715200,33349280,0.159021759033203,37.62,1800,3.14,1632,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXAZ.cropped,TagXAZ,1,5.316321106,10.12877446,3,4,3
bzip2,209715200,29869762,0.142430124282837,28.61,9932,8.92,7048,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXAZ.cropped,TagXAZ,1,6.99056274,3.193500544,2,3,6
xz,209715200,24258388,0.115673007965088,175.26,691432,4.71,67736,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXAZ.cropped,TagXAZ,1,1.141161703,4.911805009,1,5,4
rANS-0,209715200,98500747,0.46968816280365,4.5,4464,4.72,4920,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXAZ.cropped,TagXAZ,1,44.44444444,19.9020408,6,1,1
rANS-1,209715200,73618696,0.351041297912598,5.24,4512,5.57,5868,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXAZ.cropped,TagXAZ,1,38.16793893,12.60471447,5,2,2
GABAC,209715200,38075847,0.18155978679657,271.35,2051308,11.85,2477616,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXAZ.cropped,TagXAZ,1,0.737055463,3.064300199,4,6,7
gzip,209715200,863630,0.00411810874939,3.81,1748,2.73,1640,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.tagBuffer.cropped,tagBuffer,1,52.49343832,0.301692949,4,3,2
bzip2,209715200,486433,0.002319493293762,61.24,10084,6,6400,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.tagBuffer.cropped,tagBuffer,1,3.265839321,0.077316443,1,6,5
xz,209715200,785256,0.00374439239502,20.82,691324,2.54,67768,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.tagBuffer.cropped,tagBuffer,1,9.606147935,0.294834047,3,5,3
rANS-0,209715200,74413482,0.354831132888794,3.7,4296,4.12,4704,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.tagBuffer.cropped,tagBuffer,1,54.05405405,17.22481228,6,2,1
